part_num,manufacturer,TNVED,concat_str,path_ds,id_path
SMP-MSLD-PCS20T,AMPHENOL RF,8536691000,SMP-MSLD-PCS20T AMPHENOL RF,M:\DataSheet\a930d2e0-0e95-11ee-96f2-f8bc12505841.pdf,a930d2e0-0e95-11ee-96f2-f8bc12505841
FG18X7S2A104KRT06,TDK,8532240000,FG18X7S2A104KRT06 TDK,M:\DataSheet\67fecb11-1fc6-11ee-96f2-f8bc12505841.pdf,67fecb11-1fc6-11ee-96f2-f8bc12505841
MM4SAGF3PG-2666C-A00,MMY,8473302008,MM4SAGF3PG-2666C-A00 MMY,M:\DataSheet\b8ee12d8-010e-11ee-96f1-f8bc12505841.pdf,b8ee12d8-010e-11ee-96f1-f8bc12505841
CT7035JKR,"SHANGHAI SENSYLINK MICROELECTRONICS TECHNOLOGY CO., LTD",8542393000,"CT7035JKR SHANGHAI SENSYLINK MICROELECTRONICS TECHNOLOGY CO., LTD",M:\DataSheet\f4432bf4-e6ff-11ec-96e1-f8bc12505841.pdf,f4432bf4-e6ff-11ec-96e1-f8bc12505841
GaN MISHEMT E-mode 200V 40 A DFN,IGSS MALAYSIA SDN BHD,8541290000,GAN MISHEMT E-MODE 200V 40 A DFN IGSS MALAYSIA SDN BHD,M:\DataSheet\66eee299-0eaf-11ee-96f2-f8bc12505841.docx,66eee299-0eaf-11ee-96f2-f8bc12505841
GaN MISHEMT E-mode 100V 30 A DFN,IGSS MALAYSIA SDN BHD,8541290000,GAN MISHEMT E-MODE 100V 30 A DFN IGSS MALAYSIA SDN BHD,M:\DataSheet\1f82d753-0ea0-11ee-96f2-f8bc12505841.docx,1f82d753-0ea0-11ee-96f2-f8bc12505841
B0540WS-7,DIODES INCORPORATED,8541100009,B0540WS-7 DIODES INCORPORATED,M:\DataSheet\509b4618-de98-11ed-96f0-f8bc12505841.pdf,509b4618-de98-11ed-96f0-f8bc12505841
88E1545-A1-LKJ2C000,MARVELL,8542399010,88E1545-A1-LKJ2C000 MARVELL,M:\DataSheet\428ad87f-3daf-11ee-96f2-f8bc12505841.pdf,428ad87f-3daf-11ee-96f2-f8bc12505841
TSX-3225 24.0000MF15X-AC3,EPSON,8541600000,TSX-3225 24.0000MF15X-AC3 EPSON,M:\DataSheet\394b4580-38c7-11ed-96e6-f8bc12505841.pdf,394b4580-38c7-11ed-96e6-f8bc12505841
57mm Si wafer (111) 10000 Ohm*cm 3mm,"XIAMEN POWERWAY ADVANCED MATERIAL CO, LTD",3818001000,"57MM SI WAFER (111) 10000 OHM*CM 3MM XIAMEN POWERWAY ADVANCED MATERIAL CO, LTD",M:\DataSheet\193bbe65-00f9-11ed-96e4-f8bc12505841.doc,193bbe65-00f9-11ed-96e4-f8bc12505841
